date,signal_adjusted_weighted_signal,bl_relative_weighted_signal,classic_weighted_signal
2026-01-02,0.3739121,0.34780126512,0.3739121
2026-01-05,-0.04144665,0.1487398827,-0.04144665
2026-01-06,0.2549579,0.38072217079000004,0.25301295
2026-01-07,0.06310094999999999,0.5476242499999999,0.06152334999999998
2026-01-08,0.33500896556000004,0.44574955481000006,0.33722915000000003
2026-01-09,0.487197,0.5941182355,0.47189970000000003
2026-01-12,0.2608346,0.2781324542145422,0.25665720000000003
2026-01-13,0.3644786,0.5791388500000001,0.37060785
2026-01-14,0.1333303,0.15100833738000002,0.165468
2026-01-15,0.20558665,0.3293155998659987,0.19060315000000003
2026-01-16,0.23626560000000002,0.61382878082,0.20578649999999998
2026-01-20,-0.13824940000000002,0.2591204,-0.1935131
2026-01-21,-0.1027004,0.32066674770000003,-0.12877270000000002
2026-01-22,0.16350300000000006,0.40957228160000003,0.17794365000000006
2026-01-23,0.0875699,0.42413305,0.07700735
2026-01-26,0.07254235,0.36136131703999996,0.04173109999999999
2026-01-27,-0.12252750000000001,0.186115187298127,-0.08877215
2026-01-28,-0.20228035000000003,-0.10776814244142441,-0.20256190000000002
2026-01-29,-0.02065425,0.05971714344,-0.03377825
2026-01-30,0.1162835,0.39850076098,0.10054604999999998
2026-02-02,0.18552429999999998,0.36605649519999994,0.1484337
2026-02-03,0.10403035,0.4333575697056971,0.08939249999999999
2026-02-04,0.290165,0.40626795670000004,0.25687505
2026-02-05,-0.017413900000000024,0.24433952104999998,-0.04661560000000002
2026-02-06,0.21880285000000005,0.30640764272000004,0.24686390000000005
2026-02-09,0.25236860000000005,0.5649726017560175,0.2254631
2026-02-10,-0.11620815000000002,0.15764110677106774,-0.07487445000000002
2026-02-11,-0.14867705,-0.17925941885000002,-0.13317745
2026-02-12,0.06216540000000001,0.08189836904630954,0.03779525000000001
2026-02-13,-0.02029650000000005,0.10068127999999997,0.009643049999999959
2026-02-17,0.16053710000000004,0.32429593314,0.18528485000000003
2026-02-18,0.08886999999999998,0.26075319858801405,0.10854080000000002
2026-02-19,0.30436250000000004,0.597180316906831,0.2882639
2026-02-20,0.27848395000000004,0.34983840326000004,0.27495405
2026-02-23,0.12760035,0.25076334812,0.10198560000000001
2026-02-24,0.031809350000000014,0.27205513292,0.04721575000000003
2026-02-25,0.44459385000000007,0.3970606097999999,0.45303715
2026-02-26,0.52346665,0.57053735,-0.04627254999999997
2026-02-27,-0.0892276,0.366827,-0.09333240000000001
2026-03-02,0.14955685000000005,0.23114636789,0.13704105000000003
2026-03-03,0.26490035,0.32345512466124665,0.25750035000000004
2026-03-04,0.19190959999999999,0.40919375043999995,0.17519520000000002
2026-03-05,0.2780093,0.3909972965770342,0.2473257
2026-03-06,-0.05813045,0.2799697049,-0.0373947
2026-03-09,0.23801965000000003,0.30667530175,0.20288885
2026-03-10,0.004210113920000036,0.16067299238000002,-0.06916784999999998
2026-03-11,0.25507405000000005,0.3045553427065729,0.23882335000000002
2026-03-12,0.2980711000000001,0.39977929736000006,0.2755443
2026-03-13,0.2928045,0.36565740907000005,0.25470400000000004
2026-03-16,0.27945515,0.32248182843,0.2586501
2026-03-17,-0.01907225,-0.037628984260000005,-0.016218500000000004
2026-03-18,0.13644625,0.09680199131008693,0.1242462
2026-03-19,0.20294063496000003,0.30550296264,0.17723205000000006
2026-03-20,0.19869990000000004,0.29239084927150727,0.15699174999999999
2026-03-23,0.150181,0.31058889502,0.18732325000000002
2026-03-24,0.4751153500000001,0.397492828601714,0.47202810000000006
2026-03-25,-0.0939041,-0.03386770703,-0.12212715
2026-03-26,0.13774394999999998,0.18625182495,0.15122775
2026-03-27,-0.23864375000000004,-0.2098291343213432,-0.23599655000000003
2026-03-30,0.14126149999999998,0.24034711003889958,0.15213320000000002
2026-03-31,0.14328795000000005,0.31829015850000003,0.15216845000000004
2026-04-01,0.43000545,0.45570235116999996,0.41976104999999997
2026-04-02,0.29920197100000007,0.43201653272000007,0.1705653000000001
2026-04-06,0.35538865000000003,0.3669476447400001,0.13439940000000003
2026-04-07,0.30637339999999996,0.30549666779999995,-0.10687015000000001
2026-04-08,0.1830584,0.27441194375,-0.0010741000000000084
2026-04-09,0.56885415,0.57931965881,0.46852315
2026-04-10,0.16509675000000001,0.10887969812,-0.041154650000000015
2026-04-13,0.34499375,0.31838653287,0.07844145000000002
2026-04-14,0.12589409999999998,0.17456551250000002,0.1581434
2026-04-15,0.38173422760000003,0.48247871912,0.23100715
2026-04-16,0.32906878115,0.40884575,0.20355050000000002
2026-04-17,0.40179179625,0.5044863519,0.19910800000000003
2026-04-20,0.1604325,0.16666158746999998,0.14598195000000003
2026-04-21,0.29913615,0.32402685191999997,0.30880104999999997
2026-04-22,0.43552810000000003,0.36002517678,0.43167620000000007
2026-04-23,0.11182819999999999,0.06849355742999999,0.12092954999999998
2026-04-24,0.3445603575999999,0.34431833549,0.2602657500000001
2026-04-27,0.2960657,0.26687761008,0.13889065
2026-04-28,0.3983474,0.3983474,0.005599699999999999
2026-04-29,0.367862,0.367862,0.1494262
2026-04-30,0.5043882500000001,0.47901517026000007,0.42568595
2026-05-01,0.36243541020000003,0.31941730928,0.3800042
2026-05-04,0.14262665000000002,0.13496356515565155,-0.05886845000000002
2026-05-05,0.60339325,0.60339325,0.47854700000000006
2026-05-06,0.43651505000000007,0.4032361493800001,0.3060948
2026-05-07,0.4688993000000001,0.59539897932,0.49493670000000006
2026-05-08,0.052811550000000027,0.3904862271500001,0.057496050000000035
2026-05-11,0.011491749999999992,0.24063836164,0.00018574999999999148
2026-05-12,0.3877436000000001,0.3559582345623456,0.36953685000000003
2026-05-13,0.39312060000000004,0.35290080284,0.3798644
2026-05-14,-0.03341034999999999,0.17824553771000004,-0.0743358
2026-05-15,-0.17706325839999998,0.07759639304999999,-0.23446480000000003
2026-05-18,0.10553761408,0.2660684400344004,0.1084592
2026-05-19,0.21082253729999997,0.21662507363999997,0.17006369999999998
2026-05-20,0.27419755137999996,0.38241405124,0.28277769999999997
2026-05-21,0.3516222,0.29652875196,0.34250650000000005
2026-05-22,-0.008397700000000001,-0.06169086152861528,-0.0020442500000000027
2026-05-26,0.4739680500000001,0.56374558975,0.54188435
2026-05-27,0.15007635,0.17383711714000002,0.14079070000000002
2026-05-28,0.44695340000000006,0.4600068604,0.48613019999999996
