date,Signal-adjusted + cash overlay max 20%,PyPortfolioOpt classique,PyPortfolioOpt classique + cash overlay max 20%,Equal-weight
2026-01-02,0.0232605503,0.023574383406783073,0.023574383406783073,0.023462080724610646
2026-01-05,-0.004567542255311793,-0.00437072144254892,-0.0037521748761236685,0.006143357242079417
2026-01-06,-0.009298616,-0.008945072020724218,-0.008945072020724218,-0.01753330723066493
2026-01-07,0.0182238441,0.01809447495709427,0.01809447495709427,0.01928990277558129
2026-01-08,0.0077459733,0.007605747178225897,0.007605747178225897,0.009308983128232718
2026-01-09,0.0055831405,0.004755688032872844,0.004755688032872844,-0.0007502003910080379
2026-01-12,0.0090564158,0.0089437204871079,0.0089437204871079,0.00753644032125711
2026-01-13,-0.00242941,-0.0024647547045344746,-0.0024647547045344746,-0.001312383292899022
2026-01-14,0.0057343325,0.005210173476147453,0.005210173476147453,0.003571860489956924
2026-01-15,-0.0018837826,-0.002235253976261958,-0.002235253976261958,-0.005387389981462909
2026-01-16,-0.0239077792,-0.024228369538780794,-0.024228369538780794,-0.014265207017702508
2026-01-20,0.00416443304,0.005125159330890241,0.0041001274647121935,0.01645464098583398
2026-01-21,0.014219328240000002,0.017911478546752724,0.01432918283740218,0.008118434594782875
2026-01-22,0.0063045327,0.005480965504239823,0.005480965504239823,0.0013841681655647475
2026-01-23,-0.0288761447,-0.028528750208226088,-0.028528750208226088,-0.016034438833309305
2026-01-26,-0.0058229929,-0.005822056691959475,-0.005822056691959475,-0.010078031875768412
2026-01-27,-0.00822536,-0.010359866877863947,-0.008287893502291158,-0.010037398489277627
2026-01-28,-0.00769827112,-0.008938510542192652,-0.007150808433754122,-0.0025903299033915193
2026-01-29,0.019373844688277235,0.02206460817218433,0.019820282404443418,0.007315633452427273
2026-01-30,0.003720656,0.0021927629117842583,0.0021927629117842583,-0.010470605056298422
2026-02-02,0.0069633548,0.006600133548573156,0.006600133548573156,0.001786854891529055
2026-02-03,0.0033322885,0.003008547500975239,0.003008547500975239,0.022203472578086324
2026-02-04,-0.0232484735,-0.02346627027108123,-0.02346627027108123,-0.020558725677089097
2026-02-05,0.0338793401499504,0.037232886768385764,0.03326399658445547,0.03351360530610394
2026-02-06,0.0035624055,0.0033538671384680434,0.0033538671384680434,-0.005589341696082895
2026-02-09,-6.2076e-06,0.0008750688844050602,0.0008750688844050602,0.004188911635266268
2026-02-10,0.00969414496,0.011408727752193063,0.009150290598239935,0.003660456042496052
2026-02-11,-0.01855958832,-0.023827827368547508,-0.019062261894838006,-0.027970210349490897
2026-02-12,0.0119681844,0.013136249920802447,0.013136249920802447,0.013379423961270943
2026-02-13,-0.0007164610496358,-0.0011586872257178015,-0.0010699372761889794,0.0068318061425769235
2026-02-17,-0.0006101259,-0.0003555110472696346,-0.0003555110472696346,0.00500272416193257
2026-02-18,-4.67527e-05,-0.0002761267791048717,-0.0002761267791048717,-0.0015979274603219462
2026-02-19,0.0050750052,0.004611402892007697,0.004611402892007697,0.003930131338090881
2026-02-20,-0.0282292256,-0.027870498636529448,-0.027870498636529448,-0.02640475777262432
2026-02-23,0.0206508951,0.02059626748648547,0.02059626748648547,0.01858595899406592
2026-02-24,0.0112049076163482,0.01096532109202037,0.0107960425131059,0.004414508664348782
2026-02-25,-0.0132955847,-0.013226314562638182,-0.013226314562638182,-0.004066954819445301
2026-02-26,-0.0063667384,-0.010527332191608771,-0.009504860645055692,-0.00944303583931656
2026-02-27,-0.0033237971783049605,-0.004151674027745376,-0.0033712180973477874,-0.008944108092577775
2026-03-02,0.0142639788,0.014069858245691874,0.014069858245691874,0.0006335096507313453
2026-03-03,0.0111153731,0.010957033246507777,0.010957033246507777,0.003636454153936053
2026-03-04,0.0012992408,0.0008278525224017939,0.0008278525224017939,0.00010715931861549066
2026-03-05,-0.0082614176,-0.008508960373266844,-0.008508960373266844,-0.008207788123371617
2026-03-06,0.00020508707764216002,9.590321196349433e-05,8.32144924911383e-05,3.5147006289415475e-05
2026-03-09,0.0029965528,0.00270968507904039,0.00270968507904039,0.0010233822189238627
2026-03-10,0.0011161376322681405,0.0019832015224205708,0.0017094552913304122,0.00017730752145188599
2026-03-11,-0.026143112,-0.026187105355633906,-0.026187105355633906,-0.02239985560100959
2026-03-12,0.000399343,0.0005897669484979454,0.0005897669484979454,-0.002073908092778365
2026-03-13,0.0025611302,0.0027128326078798668,0.0027128326078798668,0.0007840502700912966
2026-03-16,0.0036373228,0.004048892277583364,0.004048892277583364,0.00539830464557507
2026-03-17,-0.0175477064036608,-0.018436075017883847,-0.016768288172406633,-0.023986247087511892
2026-03-18,-0.0114435396,-0.012225197163955329,-0.012225197163955329,-0.0010755463656636488
2026-03-19,-0.0215250889,-0.020673405151385823,-0.020673405151385823,-0.018828636867784975
2026-03-20,0.0208341404,0.020200914432971895,0.020200914432971895,0.010884331399233971
2026-03-23,0.003707115,0.0037884487972560305,0.0037884487972560305,-0.0013014053657281587
2026-03-24,0.0046799741,0.004414030550947634,0.004414030550947634,0.0010467619174745258
2026-03-25,-0.012331237663768266,-0.015184788201608738,-0.012147830561286991,-0.015218809339661821
2026-03-26,-0.0080772949,-0.007567542900200873,-0.007567542900200873,-0.017946386378466395
2026-03-27,-0.00798504008,-0.009517869050033989,-0.007614295240027192,-0.0019913155364797317
2026-03-30,0.0326359169,0.032394396529462216,0.032394396529462216,0.030500465342608685
2026-03-31,0.0010356955,0.0008745624795032294,0.0008745624795032294,-0.024883499800045183
2026-04-01,-0.0222194083,-0.022194055803540814,-0.022194055803540814,-0.012843917963586481
2026-04-02,0.0160714675,0.0006331353991258643,0.0006331353991258643,0.0069653454710522315
2026-04-06,-0.0105199038,-0.017336080983483347,-0.017336080983483347,-0.014117835715939098
2026-04-07,0.0217601209,0.012826824853157073,0.010576718553474513,0.017424704598880035
2026-04-08,0.0037697154,0.0069320561466538885,0.006424549434492901,0.007526901900633676
2026-04-09,-0.0091375729,-0.005319061639329795,-0.005319061639329795,-0.009699483673407849
2026-04-10,-0.0071674639,-0.006677704382401133,-0.005962257169166539,0.002645592350806214
2026-04-13,0.015203817,0.022265958494564655,0.022265958494564655,0.020315544292257882
2026-04-14,0.0431448745,0.0432673404274582,0.0432673404274582,0.027051514099581155
2026-04-15,0.0021656637,0.0011715511241964117,0.0011715511241964117,0.00299083878058497
2026-04-16,0.0258691006,0.028055462453184403,0.028055462453184403,0.021750002474583807
2026-04-17,0.0008971827,-0.0011149060704815136,-0.0011149060704815136,-0.0005188177042487529
2026-04-20,-0.00250106,-0.0026574358202615367,-0.0026574358202615367,-0.006641711642341908
2026-04-21,-0.0021661835,-0.002434537567608503,-0.002434537567608503,-0.0002340944255507571
2026-04-22,-0.0170746043,-0.01731845438070574,-0.01731845438070574,-0.013908403278461212
2026-04-23,-0.0015159853,-0.0015458148235273023,-0.0015458148235273023,-0.004193554923647947
2026-04-24,-0.0002100633,0.003651290332650884,0.003651290332650884,0.001916934702416384
2026-04-27,-0.0116997606,-0.011980572183658814,-0.011980572183658814,-0.008830702352524833
2026-04-28,0.0344452909,0.004677475142684432,0.004616135764204592,0.013157724646455793
2026-04-29,0.0087805144,0.016923220202743748,0.016923220202743748,0.012057318766176616
2026-04-30,0.0016436147,0.006989721727541043,0.006989721727541043,0.0034616316521582035
2026-05-01,-0.0060526925,-0.005169170400206079,-0.005169170400206079,-0.011980097871501515
2026-05-04,0.0019599854,-0.0005238885141894776,-0.00046121437200474775,-0.0017755196388055338
2026-05-05,0.0170995066,0.021335137825228896,0.021335137825228896,0.028689754270104027
2026-05-06,-0.0172776756,-0.000748492066172092,-0.000748492066172092,-0.000640330302481007
2026-05-07,0.0141281073,0.01386380167225398,0.01386380167225398,0.005933287772860574
2026-05-08,-0.0089383583,-0.00975961613753887,-0.00975961613753887,-0.015595640891827255
2026-05-11,0.0022770429233437664,0.002524899631366165,0.002378924123943195,0.004633039977936649
2026-05-12,0.0124298305,0.012301976392811234,0.012301976392811234,0.0032098723531446493
2026-05-13,0.0037933295,0.003808560952546513,0.003808560952546513,0.00207862373641865
2026-05-14,-0.0217502110165599,-0.02523243292751088,-0.0218352877649464,-0.015826274541154726
2026-05-15,0.00021064272000000003,-0.003993449137494554,-0.003194759309995644,0.002458532398645241
2026-05-18,0.0068200126,0.005258218706407351,0.005258218706407351,-0.0008802806413791498
2026-05-19,-0.0064097573,0.0010062737750057681,0.0010062737750057681,0.010861038305896043
2026-05-20,0.0107589131,0.011191602566384247,0.011191602566384247,0.002021873199787172
2026-05-21,0.0051233192,0.00521336240058291,0.00521336240058291,0.0012162720488663181
2026-05-22,0.00495639490154652,0.005784977409493335,0.005355571654709951,0.0017623896903886439
2026-05-26,0.0177570004,0.0178001219837397,0.0178001219837397,0.015459048737464353
2026-05-27,0.0025512737,0.0027423299069851996,0.0027423299069851996,0.003826741179575199
2026-05-28,-0.014318943,-0.014373348324462226,-0.014373348324462226,-0.01694368044409784
