date,next_date,portfolio_return,portfolio_value,cumulative_return
2026-01-02,2026-01-05,0.0232605503,102326.055,0.02326055030000007
2026-01-05,2026-01-06,-0.0052017907,101793.7763,0.017937763085772662
2026-01-06,2026-01-07,-0.009298616,100847.2351,0.008472350714939125
2026-01-07,2026-01-08,0.0182238441,102685.0594,0.026850593613528595
2026-01-08,2026-01-09,0.0077459733,103480.4551,0.0348045508947481
2026-01-09,2026-01-12,0.0055831405,104058.201,0.040582010092432785
2026-01-12,2026-01-13,0.0090564158,105000.5953,0.05000595344982961
2026-01-13,2026-01-14,-0.00242941,104745.5059,0.047455058486459034
2026-01-14,2026-01-15,0.0057343325,105346.1514,0.05346151407062738
2026-01-15,2026-01-16,-0.0018837826,105147.7022,0.051477021600651485
2026-01-16,2026-01-20,-0.0239077792,102633.8541,0.026338541134349525
2026-01-20,2026-01-21,0.0052055413,103168.1189,0.03168118879800619
2026-01-21,2026-01-22,0.0177741603,105001.8456,0.050018455626196445
2026-01-22,2026-01-23,0.0063045327,105663.8331,0.056638331315295165
2026-01-23,2026-01-26,-0.0288761447,102612.669,0.02612668996466816
2026-01-26,2026-01-27,-0.0058229929,102015.1562,0.02015156153450337
2026-01-27,2026-01-28,-0.0102817,100966.2669,0.009662669224274056
2026-01-28,2026-01-29,-0.0096228389,99994.6848,-5.315198501520957e-05
2026-01-29,2026-01-30,0.0213887899,102133.4501,0.021334501058344557
2026-01-30,2026-02-02,0.003720656,102513.4535,0.025134535397714375
2026-02-02,2026-02-03,0.0069633548,103227.2911,0.032272910885421835
2026-02-03,2026-02-04,0.0033322885,103571.2742,0.035712742035226785
2026-02-04,2026-02-05,-0.0232484735,101163.4002,0.011634001798408455
2026-02-05,2026-02-06,0.037225348,104929.243,0.04929242956398672
2026-02-06,2026-02-09,0.0035624055,105303.0435,0.053030434686173855
2026-02-09,2026-02-10,-6.2076e-06,105302.3898,0.0530238978944475
2026-02-10,2026-02-11,0.0121176812,106578.4106,0.06578410578511362
2026-02-11,2026-02-12,-0.0231994854,104105.8463,0.04105846298339966
2026-02-12,2026-02-13,0.0119681844,105351.8043,0.05351804263956539
2026-02-13,2026-02-17,-0.0007905591,105268.5174,0.05268517436394249
2026-02-17,2026-02-18,-0.0006101259,105204.2904,0.052042903874517155
2026-02-18,2026-02-19,-4.67527e-05,105199.3718,0.05199371802824526
2026-02-19,2026-02-20,0.0050750052,105733.2592,0.057332591617605955
2026-02-20,2026-02-23,-0.0282292256,102748.4912,0.02748491135459985
2026-02-23,2026-02-24,0.0206508951,104870.3395,0.0487033944758164
2026-02-24,2026-02-25,0.011483429,106074.6106,0.06074610544833847
2026-02-25,2026-02-26,-0.0132955847,104664.2866,0.04664286575815502
2026-02-26,2026-02-27,-0.0063667384,103997.9165,0.039979164433646464
2026-02-27,2026-03-02,-0.0040814678,103573.4523,0.03573452296133972
2026-03-02,2026-03-03,0.0142639788,105050.8218,0.050508218239288416
2026-03-03,2026-03-04,0.0111153731,106218.5009,0.06218500902963431
2026-03-04,2026-03-05,0.0012992408,106356.5043,0.06356504313051414
2026-03-05,2026-03-06,-0.0082614176,105477.8488,0.05477848816445108
2026-03-06,2026-03-09,0.0002396364,105503.1252,0.05503125148415222
2026-03-09,2026-03-10,0.0029965528,105819.2709,0.058192708334874554
2026-03-10,2026-03-11,0.0011887123,105945.0595,0.05945059502304262
2026-03-11,2026-03-12,-0.026143112,103175.326,0.031753259458888516
2026-03-12,2026-03-13,0.000399343,103216.5283,0.03216528290078058
2026-03-13,2026-03-16,0.0025611302,103480.8793,0.034808792578209236
2026-03-16,2026-03-17,0.0036373228,103857.2726,0.038572726193094375
2026-03-17,2026-03-18,-0.0193277184,101849.9485,0.018499485003313998
2026-03-18,2026-03-19,-0.0114435396,100684.4246,0.006844245814098926
2026-03-19,2026-03-20,-0.0215250889,98517.1834,-0.01482816608550308
2026-03-20,2026-03-23,0.0208341404,100569.7042,0.0056970422203970195
2026-03-23,2026-03-24,0.003707115,100942.5277,0.009425276811068084
2026-03-24,2026-03-25,0.0046799741,101414.9361,0.014149360962429247
2026-03-25,2026-03-26,-0.015259018,99867.4438,-0.0013255623911848646
2026-03-26,2026-03-27,-0.0080772949,99060.785,-0.009392150332842908
2026-03-27,2026-03-30,-0.0099813001,98072.0296,-0.019279704561786515
2026-03-30,2026-03-31,0.0326359169,101272.7002,0.012727001502278457
2026-03-31,2026-04-01,0.0010356955,101377.5879,0.013775878300462896
2026-04-01,2026-04-02,-0.0222194083,99125.0378,-0.008749621864186263
2026-04-02,2026-04-06,0.0160714675,100718.1227,0.0071812263723862735
2026-04-06,2026-04-07,-0.0105199038,99658.5777,-0.0034142232382172732
2026-04-07,2026-04-08,0.0217601209,101827.1604,0.018271603751339516
2026-04-08,2026-04-09,0.0037697154,102211.0198,0.022110197897383665
2026-04-09,2026-04-10,-0.0091375729,101277.0592,0.012770591452262892
2026-04-10,2026-04-13,-0.0071674639,100551.1595,0.00551159479904717
2026-04-13,2026-04-14,0.015203817,102079.9209,0.020799209077750014
2026-04-14,2026-04-15,0.0431448745,106484.1463,0.06484146284310888
2026-04-15,2026-04-16,0.0021656637,106714.7552,0.06714755134544315
2026-04-16,2026-04-17,0.0258691006,109475.3699,0.09475369870624206
2026-04-17,2026-04-20,0.0008971827,109573.5893,0.09573589278548233
2026-04-20,2026-04-21,-0.00250106,109299.5392,0.09299539157347225
2026-04-21,2026-04-22,-0.0021661835,109062.7763,0.09062776299066977
2026-04-22,2026-04-23,-0.0170746043,107200.5726,0.07200572549900985
2026-04-23,2026-04-24,-0.0015159853,107038.0581,0.07038058057763763
2026-04-24,2026-04-27,-0.0002100633,107015.5733,0.07015573290062571
2026-04-27,2026-04-28,-0.0116997606,105763.5167,0.057635167020970934
2026-04-28,2026-04-29,0.0344452909,109406.5718,0.09406571801507835
2026-04-29,2026-04-30,0.0087805144,110367.2178,0.10367217780665605
2026-04-30,2026-05-01,0.0016436147,110548.619,0.10548618962208023
2026-05-01,2026-05-04,-0.0060526925,109879.5022,0.09879502165330112
2026-05-04,2026-05-05,0.0019599854,110094.8644,0.10094864385333446
2026-05-05,2026-05-06,0.0170995066,111977.4323,0.1197743224551655
2026-05-06,2026-05-07,-0.0172776756,110042.7225,0.10042722496657541
2026-05-07,2026-05-08,0.0141281073,111597.4179,0.11597417887674433
2026-05-08,2026-05-11,-0.0089383583,110599.9202,0.10599920181239564
2026-05-11,2026-05-12,0.0024002839,110865.3914,0.10865391388991874
2026-05-12,2026-05-13,0.0124298305,112243.4294,0.12243429412273188
2026-05-13,2026-05-14,0.0037933295,112669.2057,0.12669205724243948
2026-05-14,2026-05-15,-0.0244718145,109911.9858,0.09911985821897917
2026-05-15,2026-05-18,0.0002633034,109940.926,0.09940926021465568
2026-05-18,2026-05-19,0.0068200126,110690.7245,0.10690724522187622
2026-05-19,2026-05-20,-0.0064097573,109981.2239,0.09981223842639242
2026-05-20,2026-05-21,0.0107589131,111164.5023,0.11164502272593846
2026-05-21,2026-05-22,0.0051233192,111734.0335,0.11734033501445462
2026-05-22,2026-05-26,0.0053749043,112334.5932,0.12334593238568714
2026-05-26,2026-05-27,0.0177570004,114329.3187,0.14329318655639822
2026-05-27,2026-05-28,0.0025512737,114621.004,0.1462100403946487
2026-05-28,2026-05-29,-0.014318943,112979.7524,0.12979752416021006
