ticker,date,publisher,title,link
NKE,2026-06-10 13:42:21+00:00,Yahoo Finance,"Nike downgraded, Oscar Health upgraded: Wall Street's top analyst calls",https://finance.yahoo.com/markets/stocks/articles/nike-downgraded-oscar-health-upgraded-134221091.html?.tsrc=rss
TSLA,2026-06-10 13:11:00+00:00,Yahoo Finance,SpaceX IPO: The Devil Is in the Details,https://finance.yahoo.com/m/4c09dd8f-5062-3943-85d8-82e21e8037da/spacex-ipo%3A-the-devil-is-in.html?.tsrc=rss
NKE,2026-06-10 13:07:58+00:00,Yahoo Finance,"Nike Near-Term Catalysts Limited as Turnaround Progress Is Slower Than Expected, RBC Says",https://finance.yahoo.com/markets/stocks/articles/nike-near-term-catalysts-limited-130758852.html?.tsrc=rss
NKE,2026-06-10 12:58:00+00:00,Yahoo Finance,"Nike Could Get a World Cup Boost. But Stay Behind the Touchline, Analysts Say.",https://finance.yahoo.com/m/bd6a5ed1-0666-3a26-9406-64a5016e0cc5/nike-could-get-a-world-cup.html?.tsrc=rss
TSLA,2026-06-10 12:46:03+00:00,Yahoo Finance,Has Tesla solved the self-driving puzzle? This analyst thinks so,https://finance.yahoo.com/markets/stocks/articles/tesla-solved-self-driving-puzzle-124603605.html?.tsrc=rss
TSLA,2026-06-10 12:45:00+00:00,Yahoo Finance,Why everyone’s an energy company now,https://finance.yahoo.com/sectors/energy/articles/why-everyone-energy-company-now-124500249.html?.tsrc=rss
TGT,2026-06-10 12:42:00+00:00,Yahoo Finance,"Melting Forest, a Leading Functional Beverage Brand Powered by Mushroom Adaptogens, Generates Tremendous Success Via National Retail Focus with Recent Securement of Target Seasonal and GNC Nationwide Deals",https://finance.yahoo.com/markets/stocks/articles/melting-forest-leading-functional-beverage-124200557.html?.tsrc=rss
TSLA,2026-06-10 12:38:00+00:00,Yahoo Finance,Centene and UFP Industries have been highlighted as Zacks Bull and Bear of the Day,https://finance.yahoo.com/sectors/healthcare/articles/centene-ufp-industries-highlighted-zacks-123800991.html?.tsrc=rss
TSLA,2026-06-10 12:37:32+00:00,Yahoo Finance,Latest News In Electric Vehicles - Solid-State Battery Development Gains Momentum with New Partnership,https://finance.yahoo.com/sectors/technology/articles/latest-news-electric-vehicles-solid-123732966.html?.tsrc=rss
TSLA,2026-06-10 12:30:00+00:00,Yahoo Finance,SpaceX just got a superchip ahead of its June 12th IPO — but no one’s talking about it. 3 red-hot stocks to watch now,https://finance.yahoo.com/markets/stocks/articles/spacex-just-got-superchip-ahead-123000304.html?.tsrc=rss
SBUX,2026-06-10 12:15:06+00:00,Yahoo Finance,Starbucks Could Be Planning Another Asset Shift,https://finance.yahoo.com/markets/stocks/articles/starbucks-could-planning-another-asset-121506082.html?.tsrc=rss
NKE,2026-06-10 11:59:02+00:00,Yahoo Finance,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: BILL Holdings, Cava Group, Entergy, GlobalFoundries, Hess Midstream, Nike, Pfizer, SharkNinja, STMicroelectronics, and More",https://247wallst.com/investing/2026/06/10/here-are-wednesdays-top-wall-street-analyst-research-calls-bill-holdings-cava-group-entergy-globalfoundries-hess-midstream-nike-pfizer-sharkninja-stmicroelectronics-and-more/?.tsrc=rss
SBUX,2026-06-10 11:40:42+00:00,Yahoo Finance,"Starbucks reviews options for Japan unit, including stake sale – report",https://www.verdictfoodservice.com/news/starbucks-reviews-options-for-japan-unit-including-stake-sale-report/?.tsrc=rss
TSLA,2026-06-10 11:40:41+00:00,Yahoo Finance,Everything you need to know about SpaceX’s stratospheric listing,https://moneyweek.com/investments/tech-stocks/spacex-ipo?.tsrc=rss
TSLA,2026-06-10 11:06:00+00:00,Yahoo Finance,3 Reasons Tesla Stock Is So Volatile This Week,https://finance.yahoo.com/m/b6c01667-c1ac-3539-ab4d-a006a039861d/3-reasons-tesla-stock-is-so.html?.tsrc=rss
NKE,2026-06-10 11:05:00+00:00,Yahoo Finance,Should You Buy Nike Stock Ahead of the World Cup?,https://www.fool.com/investing/2026/06/10/should-you-buy-nike-stock-ahead-of-the-world-cup/?.tsrc=rss
TGT,2026-06-10 11:00:00+00:00,Yahoo Finance,Nuvini Nears Close on Beyondsoft Americas Buyout; Transformative Combination Creates a ~$148M Revenue Global Technology Platform -- 4x Revenue Across 15 Countries,https://finance.yahoo.com/markets/stocks/articles/nuvini-nears-close-beyondsoft-americas-110000325.html?.tsrc=rss
TSLA,2026-06-10 10:00:00+00:00,Yahoo Finance,Rivian begins deliveries of cheaper electric vehicles,https://finance.yahoo.com/sectors/technology/articles/rivian-begins-deliveries-cheaper-electric-100000988.html?.tsrc=rss
SBUX,2026-06-10 09:51:03+00:00,Yahoo Finance,Starbucks Evaluates Sale and IPO Options for Japanese Operations (SBUX),https://investorshub.advfn.com/market-news/article/30075/starbucks-evaluates-sale-and-ipo-options-for-japanese-operations-sbux?.tsrc=rss
TSLA,2026-06-10 09:50:04+00:00,Yahoo Finance,SpaceX IPO Set to Test Strength of the ‘Elon Premium’ as Valuation Nears $1.8 Trillion,https://investorshub.advfn.com/market-news/article/30073/spacex-ipo-set-to-test-strength-of-the-elon-premium-as-valuation-nears-1-8-trillion?.tsrc=rss
TSLA,2026-06-10 09:45:49+00:00,Yahoo Finance,"Scott Galloway Says Tesla, Nvidia, Broadcom Could Get Caught In The Crossfire Of The Space X IPO",https://finance.yahoo.com/markets/stocks/articles/scott-galloway-says-tesla-nvidia-094549954.html?.tsrc=rss
NKE,2026-06-10 09:42:58+00:00,Yahoo Finance,Jim Cramer on NIKE: “The Turn’s Taking Longer Than We’d Like”,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-nike-turn-taking-094258158.html?.tsrc=rss
NKE,2026-06-10 09:42:56+00:00,Yahoo Finance,"Jim Cramer Says “Gap Overall Has Been Doing Better, But Athleta Remains the Weak Link”",https://finance.yahoo.com/markets/stocks/articles/jim-cramer-says-gap-overall-094256283.html?.tsrc=rss
TSLA,2026-06-10 09:26:00+00:00,Yahoo Finance,"Opinion: SpaceX Stock Will Initially Soar, but Its Smoke-and-Mirror Optics Won't Last Beyond 2 Months",https://www.fool.com/investing/2026/06/10/spacex-stock-soar-smoke-and-mirror-optic-wont-last/?.tsrc=rss
TSLA,2026-06-10 09:02:00+00:00,Yahoo Finance,BYD threatens to sue Trump administration over Chinese military claims,https://uk.finance.yahoo.com/news/byd-threatens-sue-trump-administration-090200960.html?.tsrc=rss
NKE,2026-06-10 08:43:14+00:00,Yahoo Finance,Why Is NKE Stock Falling Premarket Today?,https://stocktwits.com/news-articles/markets/equity/why-is-nke-stock-falling-premarket-today/cZ06XGoR7Th?.tsrc=rss
NKE,2026-06-10 07:53:52+00:00,Yahoo Finance,RBC downgrades Nike on slower-than-expected turnaround pace; shares dip,https://finance.yahoo.com/markets/stocks/articles/rbc-downgrades-nike-slower-expected-075352361.html?.tsrc=rss
SBUX,2026-06-10 06:53:58+00:00,Yahoo Finance,SBUX Stock Extends Rally: Starbucks Reportedly Explores Japan Stake Sale As CEO Sees More Global Growth Ahead,https://stocktwits.com/news-articles/markets/equity/sbux-stock-extends-rally-starbucks-japan-stake-sale-ceo-sees-global-growth/cZ069cyR7T7?.tsrc=rss
TSLA,2026-06-10 06:53:31+00:00,Yahoo Finance,RIVN Stock Slides Overnight: Rivian's 'Affordable' R2 Draws Backlash – Buyers Question Value Against Tesla Model Y,https://stocktwits.com/news-articles/markets/equity/rivn-r2-backlash-buyers-question-value-against-tesla-model-y/cZ069cSR7Te?.tsrc=rss
TSLA,2026-06-10 04:27:05+00:00,Yahoo Finance,ProShares Plans 2x SpaceX ETF Launch on Day of Record IPO,https://beincrypto.com/proshares-spacex-etf-spcf-launch/?.tsrc=rss
NKE,2026-06-10 03:15:54+00:00,Yahoo Finance,A Look At Nike (NKE) Valuation As Recent Share Performance Remains Mixed,https://finance.yahoo.com/markets/stocks/articles/look-nike-nke-valuation-recent-031554748.html?.tsrc=rss
TSLA,2026-06-10 02:58:48+00:00,Yahoo Finance,TSLA Stock Hits 1-Month Low Amid SpaceX Merger Jitters — But Analyst Sees Tesla Holders Getting 66% Of Deal Within A Year,https://stocktwits.com/news-articles/markets/equity/tsla-spacex-merger-analyst-tesla-holders-deal-within-a-year/cZ06PtoR7Ry?.tsrc=rss
TSLA,2026-06-10 01:31:42+00:00,Yahoo Finance,"Elon Musk, after DOGE and politics, bets on SpaceX IPO",https://finance.yahoo.com/markets/stocks/articles/elon-musk-doge-politics-bets-013142887.html?.tsrc=rss
NKE,2026-06-10 00:34:42+00:00,Yahoo Finance,Is Lululemon Stock Poised for a Re-Rating?,https://www.trefis.com/articles/601837/lululemon-athletica-stock-strong-cash-flow-poised-for-a-re-rating/2026-06-09?.tsrc=rss
TSLA,2026-06-10 00:05:49+00:00,Yahoo Finance,GM Follows Tesla’s Playbook — Expands Into Energy Storage With Peak Partnership,https://stocktwits.com/news-articles/markets/equity/gm-follows-tesla-playbook-expands-into-energy-storage/cZ06GenR7RM?.tsrc=rss
TSLA,2026-06-09 23:46:00+00:00,Yahoo Finance,Tesla's China Sales Just Snapped a 2-Month Slump With a 22% Jump. Is the Turnaround Real?,https://www.fool.com/investing/2026/06/09/teslas-china-sales-just-snapped-a-2-month-slump-wi/?.tsrc=rss
TSLA,2026-06-09 23:37:43+00:00,Yahoo Finance,Rob Arnott: Will SpaceX Create The Biggest Bubble Ever?,http://www.etf.com/sections/conferences/rob-arnott-will-spacex-create-biggest-bubble-ever?utm_source=yahoo-finance&utm_medium=rss&utm_campaign=yahoo-finance-rss&.tsrc=rss
TGT,2026-06-09 20:15:00+00:00,Yahoo Finance,"Correction: Precision Aerospace & Defense Group Announces Letter of Intent with Leader in Communications, Security and Surveillance Integration Solutions",https://finance.yahoo.com/markets/stocks/articles/correction-precision-aerospace-defense-group-201500058.html?.tsrc=rss
SBUX,2026-06-09 20:03:29+00:00,Yahoo Finance,Oatly Explores China Buyout as Shares Fall More Than 35%,https://finance.yahoo.com/markets/stocks/articles/oatly-explores-china-buyout-shares-200329824.html?.tsrc=rss
NKE,2026-06-09 19:29:44+00:00,Yahoo Finance,Academy’s a Believer in Nike and Jordan,https://wwd.com/footwear-news/shoe-industry-news/academy-sports-outdoors-nike-jordan-footwear-running-shoes-1239002617/?.tsrc=rss
TGT,2026-06-09 19:19:00+00:00,Yahoo Finance,Lunr Capital Grows Loan Portfolio 9x After Replacing Spreadsheets with LoanPro,https://finance.yahoo.com/markets/stocks/articles/lunr-capital-grows-loan-portfolio-191900565.html?.tsrc=rss
DIS,2026-06-09 19:15:00+00:00,Yahoo Finance,Warner Bros Stock Hits  3-Month Low. The Paramount Merger Spread Is Too Good to Pass Up.,https://finance.yahoo.com/m/4ee0d066-f4a6-3d88-9215-cfc614da4434/warner-bros-stock-hits-.html?.tsrc=rss
DIS,2026-06-09 17:29:32+00:00,Yahoo Finance,"All 30 Dow Jones Stocks Ranked: Buy, Sell or Hold?",https://www.kiplinger.com/investing/stocks/blue-chip-stocks/602319/all-30-dow-jones-stocks-ranked-the-pros-weigh-in?.tsrc=rss
NKE,2026-06-09 17:29:32+00:00,Yahoo Finance,"All 30 Dow Jones Stocks Ranked: Buy, Sell or Hold?",https://www.kiplinger.com/investing/stocks/blue-chip-stocks/602319/all-30-dow-jones-stocks-ranked-the-pros-weigh-in?.tsrc=rss
NKE,2026-06-09 17:20:00+00:00,Yahoo Finance,Is It Worth Buying Nike Stock for Its Dividend?,https://www.fool.com/investing/2026/06/09/is-it-worth-it-buy-nike-stock-for-its-dividend/?.tsrc=rss
TGT,2026-06-09 16:25:00+00:00,Yahoo Finance,Dollar General's Same-Store Sales Strength Suggests More Growth Ahead,https://finance.yahoo.com/markets/stocks/articles/dollar-generals-same-store-sales-162500583.html?.tsrc=rss
TGT,2026-06-09 14:06:00+00:00,Yahoo Finance,Kohl's Home Gains Traction: Will Newness Drive Continued Growth?,https://finance.yahoo.com/markets/stocks/articles/kohls-home-gains-traction-newness-140600288.html?.tsrc=rss
SBUX,2026-06-09 13:30:00+00:00,Yahoo Finance,Water.org and Founding Partners Launch Get Blue™ to Bring Water Home™ Through Everyday Actions,https://finance.yahoo.com/sectors/healthcare/articles/water-org-founding-partners-launch-133000183.html?.tsrc=rss
SBUX,2026-06-09 13:30:00+00:00,Yahoo Finance,"Corporate America has been draining the world’s water. Matt Damon’s new campaign calls on Gap, Starbucks, and Amazon to help give it back",https://finance.yahoo.com/sectors/healthcare/articles/corporate-america-draining-world-water-133000664.html?.tsrc=rss
TGT,2026-06-09 12:44:00+00:00,Yahoo Finance,"Cohen & Steers Income Opportunities REIT, Inc. Acquires 1890 Ranch Shopping Center in Austin, Texas",https://finance.yahoo.com/markets/stocks/articles/cohen-steers-income-opportunities-reit-124400169.html?.tsrc=rss
NKE,2026-06-09 09:06:00+00:00,Yahoo Finance,Nike and Adidas take their rivalry to the World Cup. Who will win?,https://www.marketingdive.com/news/nike-adidas-take-rivalry-to-world-cup-who-will-win/822288/?.tsrc=rss
SBUX,2026-06-09 02:47:57+00:00,Yahoo Finance,"Starbucks Sees Encouraging Growth beyond the Morning Rush, CNBC Reports",https://finance.yahoo.com/markets/stocks/articles/starbucks-sees-encouraging-growth-beyond-024757945.html?.tsrc=rss
TGT,2026-06-09 00:12:28+00:00,Yahoo Finance,"Mama's Creations, Inc. Q1 2027 Earnings Call Summary",https://app.moby.co/home/research/tools/earningsCalendar/earnings-mamas-creations-inc-q1-2027-earnings-call-summary?utm_source=yahoo_finance&utm_medium=rss&.tsrc=rss
SBUX,2026-06-09 00:05:36+00:00,Yahoo Finance,Starbucks vs. Texas Roadhouse: Which Consumer Stock Is a Better Buy in 2026?,https://www.fool.com/coverage/better-buy/2026/06/08/starbucks-vs-texas-roadhouse-which-consumer-stock-is-a-better-buy-in-2026/?.tsrc=rss
NKE,2026-06-08 22:10:28+00:00,Yahoo Finance,Can Nike’s World Cup Football Bet Recenter Its Core Brand Story for Investors (NKE)?,https://finance.yahoo.com/markets/stocks/articles/nike-world-cup-football-bet-221028522.html?.tsrc=rss
TGT,2026-06-08 20:05:00+00:00,Yahoo Finance,Mama's Creations Reports First Quarter Fiscal 2027 Financial Results,https://finance.yahoo.com/markets/stocks/articles/mamas-creations-reports-first-quarter-200500286.html?.tsrc=rss
TGT,2026-06-08 17:31:00+00:00,Yahoo Finance,Target's Growth Story Gains Steam as Traffic Returns in Force,https://finance.yahoo.com/markets/stocks/articles/targets-growth-story-gains-steam-173100691.html?.tsrc=rss
DIS,2026-06-08 16:27:00+00:00,Yahoo Finance,Disney World's Top Rival Needs a Better Sophomore Season,https://www.fool.com/report/2026/06/08/disney-worlds-top-rival-needs-a-better-sophomore-s/?.tsrc=rss
NKE,2026-06-08 15:55:00+00:00,Yahoo Finance,Is NIKE's Footwear Business Showing Signs of Stabilization?,https://finance.yahoo.com/markets/stocks/articles/nikes-footwear-business-showing-signs-155500738.html?.tsrc=rss
SBUX,2026-06-08 15:41:00+00:00,Yahoo Finance,Can Starbucks' $2 Billion Cost-Savings Plan Accelerate EPS Growth?,https://finance.yahoo.com/markets/stocks/articles/starbucks-2-billion-cost-savings-154100234.html?.tsrc=rss
DIS,2026-06-08 15:29:45+00:00,Yahoo Finance,Will Warren Buffett Return As Berkshire Hathaway’s CEO?,https://247wallst.com/investing/2026/06/08/will-warren-buffett-return-as-berkshire-hathaways-ceo/?.tsrc=rss
SBUX,2026-06-08 15:29:45+00:00,Yahoo Finance,Will Warren Buffett Return As Berkshire Hathaway’s CEO?,https://247wallst.com/investing/2026/06/08/will-warren-buffett-return-as-berkshire-hathaways-ceo/?.tsrc=rss
TGT,2026-06-08 15:29:00+00:00,Yahoo Finance,Is Costco's Digital Surge Making It a Bigger Retail Winner?,https://finance.yahoo.com/markets/stocks/articles/costcos-digital-surge-making-bigger-152900705.html?.tsrc=rss
NKE,2026-06-08 14:48:24+00:00,Yahoo Finance,Bell Global Equities Fund Sold Nike (NKE) Amid Recovery Challenges and Inflation Pressure,https://finance.yahoo.com/markets/stocks/articles/bell-global-equities-fund-sold-144824506.html?.tsrc=rss
TGT,2026-06-08 13:41:00+00:00,Yahoo Finance,Walmart's E-commerce Improves 26%: Is Margin Expansion Next?,https://finance.yahoo.com/markets/stocks/articles/walmarts-e-commerce-improves-26-134100821.html?.tsrc=rss
NKE,2026-06-08 12:35:14+00:00,Yahoo Finance,These 3 Underperforming Dow Stocks Have 3 Things in Common but Wall Street Remains Bullish,https://247wallst.com/investing/2026/06/08/these-3-underperforming-dow-stocks-have-3-things-in-common-but-wall-street-remains-bullish/?.tsrc=rss
DIS,2026-06-08 12:35:14+00:00,Yahoo Finance,These 3 Underperforming Dow Stocks Have 3 Things in Common but Wall Street Remains Bullish,https://247wallst.com/investing/2026/06/08/these-3-underperforming-dow-stocks-have-3-things-in-common-but-wall-street-remains-bullish/?.tsrc=rss
TGT,2026-06-08 12:01:07+00:00,Yahoo Finance,"'Don't Wait For Perfect,' Founder Says After $20K Pizza Idea Became A Million-Dollar Brand — 'Start Small, Get Your Product In Front Of Real People'",https://finance.yahoo.com/markets/stocks/articles/dont-wait-perfect-founder-says-120107157.html?.tsrc=rss
NKE,2026-06-08 09:05:30+00:00,Yahoo Finance,"Nike’s Football Push Gains Wall Street Optimism Ahead Of World Cup, But Turnaround Concerns Remain",https://stocktwits.com/news-articles/markets/equity/nike-football-push-wall-street-optimism-world-cup-turnaround-concerns-remain/cZ0H6fwRe6C?.tsrc=rss
SBUX,2026-06-08 08:47:55+00:00,Yahoo Finance,Pump & Pantry to acquire 21 Hy-Vee c-stores,https://www.cstoredive.com/news/pump-pantry-to-acquire-21-hy-vee-c-stores/822182/?.tsrc=rss
DIS,2026-06-07 23:38:21+00:00,Yahoo Finance,Disney (DIS) Signals A Long-Term Vision Focused On Consistent Value Creation,https://finance.yahoo.com/markets/stocks/articles/disney-dis-signals-long-term-233821122.html?.tsrc=rss
DIS,2026-06-07 21:47:00+00:00,Yahoo Finance,Why Toy Story 5 matters more than most Disney sequels,https://www.thestreet.com/entertainment/why-toy-story-5-matters-more-than-most-disney-sequels?.tsrc=rss
SBUX,2026-06-07 21:19:45+00:00,Yahoo Finance,Starbucks Links AI Incentives To Back To Starbucks Turnaround Story,https://finance.yahoo.com/markets/stocks/articles/starbucks-links-ai-incentives-back-211945411.html?.tsrc=rss
DIS,2026-06-07 18:00:02+00:00,Yahoo Finance,Netflix’s Underperforming Stock Needs a New Story. It Can’t Be AI.,https://www.barchart.com/story/news/2347842/netflixs-underperforming-stock-needs-a-new-story-it-cant-be-ai?.tsrc=rss
SBUX,2026-06-07 12:06:04+00:00,Yahoo Finance,Assessing Whether Starbucks (SBUX) Still Looks Slightly Undervalued After Mixed Recent Share Performance,https://finance.yahoo.com/markets/stocks/articles/assessing-whether-starbucks-sbux-still-120604796.html?.tsrc=rss
SBUX,2026-06-06 18:03:00+00:00,Yahoo Finance,Starbucks rival targets comeback after dozens of store closures,https://www.thestreet.com/restaurants/starbucks-rival-targets-comeback-after-dozens-of-store-closures-the-coffee-bean-tea-leaf?.tsrc=rss
TGT,2026-06-06 17:05:58+00:00,Yahoo Finance,Target Baby Wipes Recall And What It Could Mean For TGT Stock,https://finance.yahoo.com/markets/stocks/articles/target-baby-wipes-recall-could-170558571.html?.tsrc=rss
TGT,2026-06-06 15:07:00+00:00,Yahoo Finance,"Walmart, Target make play for Sephora, Ulta shoppers",https://www.thestreet.com/retail/walmart-target-make-play-for-sephora-ulta-shoppers?.tsrc=rss
DIS,2026-06-06 12:45:00+00:00,Yahoo Finance,"Walt Disney in 5 Years: Boom, Bust, or Quietly Crushing It?",https://www.fool.com/investing/2026/06/06/walt-disney-5-years-boom-bust-quietly-crushing-it/?.tsrc=rss
DIS,2026-06-05 22:18:06+00:00,Yahoo Finance,"Stock Market Today, June 5: Warner Bros. Discovery Falls on Reports of State Antitrust Challenge to Paramount Deal",https://www.fool.com/coverage/stock-market-today/2026/06/05/stock-market-today-june-5-warner-bros-discovery-falls-on-reports-of-state-antitrust-challenge-to-paramount-deal/?.tsrc=rss
DIS,2026-06-05 22:06:13+00:00,Yahoo Finance,Is The Walt Disney Company (DIS) One of the Top Cheap Stocks With Strong Buy Ratings on Wall Street?,https://finance.yahoo.com/markets/stocks/articles/walt-disney-company-dis-one-220613867.html?.tsrc=rss
SBUX,2026-06-05 19:01:53+00:00,Yahoo Finance,AI Layoffs Already Have Surpassed Last Year’s Total. Tech Workers Are Being Cut First.,https://247wallst.com/investing/2026/06/05/ai-layoffs-already-have-surpassed-last-years-total-tech-workers-are-being-cut-first/?.tsrc=rss
TGT,2026-06-05 17:50:00+00:00,Yahoo Finance,Lululemon Slumps on Earnings. Bargain Hunters Beware.,https://finance.yahoo.com/m/dd273e46-d5a4-3f3d-baea-ce0c0fee9a31/lululemon-slumps-on-earnings..html?.tsrc=rss
DIS,2026-06-05 17:13:00+00:00,Yahoo Finance,"Disney’s Upcoming Movie Releases Should Be Good for the Stock, Analyst Says",https://finance.yahoo.com/m/a6dceef7-cff5-345b-ac04-7bd08cf3d352/disney%E2%80%99s-upcoming-movie.html?.tsrc=rss
DIS,2026-06-05 17:09:30+00:00,Yahoo Finance,Is Papa John’s (PZZA) Toy Story 5 Tie-Up Reinforcing Its Brand Moat or Just Buzz?,https://finance.yahoo.com/markets/stocks/articles/papa-john-pzza-toy-story-170930317.html?.tsrc=rss
DIS,2026-06-05 16:50:38+00:00,Yahoo Finance,50-year-old theme park to close forever after summer season,https://www.thestreet.com/travel/50-year-old-theme-park-to-close-forever-after-summer-season?.tsrc=rss
SBUX,2026-06-05 16:47:01+00:00,Yahoo Finance,Starbucks (SBUX) Ties Part of Tech Bonuses to AI Usage,https://finance.yahoo.com/sectors/technology/articles/starbucks-sbux-ties-part-tech-164701733.html?.tsrc=rss
DIS,2026-06-05 15:30:15+00:00,Yahoo Finance,Disney (DIS) Down 8.6% Since Last Earnings Report: Can It Rebound?,https://finance.yahoo.com/markets/stocks/articles/disney-dis-down-8-6-153015301.html?.tsrc=rss
SBUX,2026-06-05 14:35:54+00:00,Yahoo Finance,"Chipotle vs Starbucks: One Turnaround Is Real, One Is Just Smoke",https://247wallst.com/investing/2026/06/05/chipotle-vs-starbucks-one-turnaround-is-real-one-is-just-smoke/?.tsrc=rss
DIS,2026-06-05 14:12:46+00:00,Yahoo Finance,Scoop: Smash leads $200M deal for defense-tech Allen Control Systems,https://www.axios.com/2026/06/05/smash-allen-control-systems-disney#utm_source=yahoo_finance&utm_medium=partner&utm_campaign=subs-partner-yahoo-finance-AI?.tsrc=rss
DIS,2026-06-05 13:30:50+00:00,Yahoo Finance,Netflix vs. Disney: Which Streaming Stock Is the Better Long-Term Hold?,https://247wallst.com/investing/2026/06/05/netflix-vs-disney-which-streaming-stock-is-the-better-long-term-hold/?.tsrc=rss
TGT,2026-06-05 13:00:05+00:00,Yahoo Finance,Is Trending Stock Target Corporation (TGT) a Buy Now?,https://finance.yahoo.com/markets/stocks/articles/trending-stock-target-corporation-tgt-130005002.html?.tsrc=rss
TGT,2026-06-05 12:22:00+00:00,Yahoo Finance,"The Weekly Closeout: Nike’s reality check, GameStop’s record earnings",https://www.retaildive.com/news/nike-guidance-reality-check-gamestop-highest-quarterly-net-income/822081/?.tsrc=rss
TGT,2026-06-05 10:20:00+00:00,Yahoo Finance,"Precision Aerospace & Defense Group Announces Letter of Intent with Leader in Communications, Security and Surveillance Integration Solutions",https://finance.yahoo.com/markets/stocks/articles/precision-aerospace-defense-group-announces-102000794.html?.tsrc=rss
TGT,2026-06-04 23:41:00+00:00,Yahoo Finance,Target Recalls Up & Up Fragrance Free and Fresh Cucumber Scented Baby Wipes Due to Potential Microbial Contamination,https://finance.yahoo.com/sectors/healthcare/articles/target-recalls-fragrance-free-fresh-234100011.html?.tsrc=rss
DIS,2026-06-04 22:13:02+00:00,Yahoo Finance,Why The Narrative Around Walt Disney (DIS) Is Shifting On Mixed Analyst Targets,https://finance.yahoo.com/markets/stocks/articles/why-narrative-around-walt-disney-221302294.html?.tsrc=rss
DIS,2026-06-04 17:21:26+00:00,Yahoo Finance,"Canada to Provide Funding, Buy Equity Stakes in AI Startups",https://finance.yahoo.com/sectors/technology/articles/canada-funding-buy-equity-stakes-150252260.html?.tsrc=rss
SBUX,2026-06-04 13:57:00+00:00,Yahoo Finance,SBUX Down 9% in a Month: Is This the Right Time to Buy the Stock?,https://finance.yahoo.com/markets/stocks/articles/sbux-down-9-month-time-135700486.html?.tsrc=rss
DIS,2026-06-03 22:07:00+00:00,Yahoo Finance,Disney's next growth story isn't parks or movies,https://www.thestreet.com/entertainment/disneys-next-growth-story-isnt-parks-or-movies-its-advertising?.tsrc=rss
SBUX,2026-06-03 13:35:02+00:00,Yahoo Finance,"After Plunging 9.0% in 4 Weeks, Here's Why the Trend Might Reverse for Starbucks (SBUX)",https://finance.yahoo.com/markets/stocks/articles/plunging-9-0-4-weeks-133502829.html?.tsrc=rss
